festival_code,festival_name,sido,sigungu,festival_type,first_year,venue
F0344,2026 경기ㆍ양주ㆍ지작사 드론봇 페스티벌,경기,양주시,주민화합,2022,광적면 가납리ㆍ석우리 일원(가납리비행장 내)
F0345,페스티벌 광명,경기,광명시,문화예술,2022,철산 상업지구 일대
F0346,2026년 제4회 광명동굴 빛 축제,경기,광명시,문화예술,2023,광명동굴 일대
F0347,광명 봄꽃축제,경기,광명시,자연생태,2025,한내천 및 소하 상업지구 일대
F0348,광명마당극축제,경기,광명시,문화예술,2024,광명시민운동장 일대
F0349,제23회 광명시평생학습축제,경기,광명시,주민화합,2002,평생학습원 일대
F0350,2026 오(oh)! 해피 장미빛축제,경기,오산시,문화예술,2025,고인돌공원
F0351,2026 오(oh)! 해피 산타 마켓,경기,오산시,문화예술,2023,오산역 광장
F0352,제13회 야맥축제,경기,오산시,주민화합,2016,오산오색시장 일원
F0353,군포철쭉축제,경기,군포시,자연생태,2011,"철쭉동산, 철쭉공원 등"
F0354,제40회 이천도자기축제,경기,이천시,문화예술,1987,이천도자예술마을 일원
F0355,2026 이천펫축제,경기,이천시,주민화합,2023,이천도자예술마을
F0356,제12회 이천인삼축제,경기,이천시,지역특산물,2015,이천인삼판매센터
F0357,제30회 장호원 햇사레복숭아축제,경기,이천시,지역특산물,1997,장호원농산물유통센터 (장호원읍 서동대로 8759번길117)
F0358,제15회 이천시 주민자치평생학습축제,경기,이천시,주민화합,2005,이천시청광장
F0359,제25회 이천쌀문화축제,경기,이천시,지역특산물,1996,이천농업테마공원
F0360,제27회 이천 백사 산수유꽃축제,경기,이천시,자연생태,2000,백사면 도립1리 일원
F0361,2026 서희외교문화제,경기,이천시,문화예술,2017,서희테마파크 (무촌로18번길 130)
F0362,제40회 설봉문화제,경기,이천시,문화예술,1987,경기도자미술관 앞 잔디마당
F0363,2026 이천 첨단방산드론 대전,경기,이천시,문화예술,2025,이천시종합운동장
F0364,안성맞춤 남사당 바우덕이축제,경기,안성시,전통역사,2001,안성맞춤랜드 및 안성천
F0365,안성맞춤포도축제,경기,안성시,지역특산물,2007,서운면 일원
F0366,죽주대고려문화축제,경기,안성시,전통역사,2004,동안성시민복지센터 일원
F0367,2026 구리 유채꽃 축제,경기,구리시,문화예술,2001,구리한강시민공원
F0368,2026 구리 코스모스 축제,경기,구리시,문화예술,2001,구리한강시민공원
F0369,동구릉 힐링예술제,경기,구리시,문화예술,2023,동구릉
F0370,2026 구리 빛 축제,경기,구리시,문화예술,2023,미정
