festival_code,theme_code,theme_tag
F0496,LS06,특산품·공예
F0497,NE01,꽃·식물
F0498,CA06,복합문화예술
F0499,CA04,영화·영상·콘텐츠
F0500,HT01,역사인물·사건
F0501,CA06,복합문화예술
F0502,HT03,문화유산
F0503,CA05,문학·책
F0504,LS05,주류·차·음료
F0505,HT02,전통문화·민속
F0506,LS01,농산물·과일
F0506,LS06,특산품·공예
F0507,LS01,농산물·과일
F0508,LS05,주류·차·음료
F0509,LS01,농산물·과일
F0509,LS03,축산물
F0510,LS01,농산물·과일
F0511,LS03,축산물
F0512,LS01,농산물·과일
F0513,LS01,농산물·과일
F0514,LS04,음식·향토먹거리
F0515,CC01,주민화합·마을
F0516,CC01,주민화합·마을
F0517,HT02,전통문화·민속
F0517,HT01,역사인물·사건
F0518,HT02,전통문화·민속
F0518,HT04,전통공연·무형유산
F0519,HT02,전통문화·민속
F0519,HT01,역사인물·사건
F0520,CA06,복합문화예술
F0521,CA06,복합문화예술
F0522,HT02,전통문화·민속
F0523,CA01,음악·공연
F0524,NE05,생태·환경
F0525,CA06,복합문화예술
F0526,HT02,전통문화·민속
F0526,HT04,전통공연·무형유산
F0527,NE01,꽃·식물
F0528,LS02,수산물·해산물
F0529,NE04,계절·자연경관
F0529,NE01,꽃·식물
F0530,LS04,음식·향토먹거리
F0530,LS01,농산물·과일
F0531,NE01,꽃·식물
F0531,NE03,강·바다·수변
F0532,HT02,전통문화·민속
F0533,LS06,특산품·공예
F0534,NE01,꽃·식물
F0534,NE02,숲·산·걷기
F0535,CC01,주민화합·마을
F0536,LS01,농산물·과일
F0537,NE02,숲·산·걷기
F0538,CC01,주민화합·마을
F0539,HT02,전통문화·민속
F0540,HT04,전통공연·무형유산
F0541,NE01,꽃·식물
F0541,NE04,계절·자연경관
F0542,LS01,농산물·과일
F0543,NE04,계절·자연경관
F0543,NE03,강·바다·수변
F0544,NE03,강·바다·수변
F0545,CA01,음악·공연
F0546,NE03,강·바다·수변
F0547,HT02,전통문화·민속
F0548,NE02,숲·산·걷기
F0548,NE04,계절·자연경관
F0549,LS01,농산물·과일
F0550,NE04,계절·자연경관
F0550,NE02,숲·산·걷기
F0551,LS06,특산품·공예
F0552,CA06,복합문화예술
F0553,CC01,주민화합·마을
F0554,LS01,농산물·과일
F0555,NE04,계절·자연경관
F0556,NE04,계절·자연경관
F0556,NE01,꽃·식물
F0557,NE05,생태·환경
F0558,NE05,생태·환경
F0559,NE02,숲·산·걷기
F0559,NE03,강·바다·수변
F0560,CA01,음악·공연
F0561,CC01,주민화합·마을
F0562,NE04,계절·자연경관
F0562,NE01,꽃·식물
F0563,LS01,농산물·과일
F0563,LS06,특산품·공예
F0564,HT02,전통문화·민속
F0565,CC01,주민화합·마을
F0566,NE01,꽃·식물
F0566,NE03,강·바다·수변
F0567,CC01,주민화합·마을
F0568,CA06,복합문화예술
F0569,LS06,특산품·공예
F0570,CA06,복합문화예술
F0571,LS03,축산물
F0572,CA06,복합문화예술
F0573,CA06,복합문화예술
F0574,LS06,특산품·공예
F0575,CC02,먹거리·야시장
F0576,LS04,음식·향토먹거리
F0577,LS06,특산품·공예
F0578,CC01,주민화합·마을
F0579,CC01,주민화합·마을
F0580,CA06,복합문화예술
F0581,NE01,꽃·식물
F0582,LS06,특산품·공예
F0583,HT02,전통문화·민속
F0584,HT03,문화유산
F0585,CA03,빛·미디어아트
F0585,CA02,미술·공예·디자인
F0586,CA06,복합문화예술
F0587,CA01,음악·공연
F0588,CA06,복합문화예술
F0589,CA06,복합문화예술
F0590,CA06,복합문화예술
F0591,CA06,복합문화예술
F0592,CA06,복합문화예술
F0593,CA06,복합문화예술
F0594,HT02,전통문화·민속
F0595,HT03,문화유산
F0596,LS06,특산품·공예
F0597,CA06,복합문화예술
F0598,CA06,복합문화예술
F0599,CA06,복합문화예술
F0600,CA06,복합문화예술
F0601,LS06,특산품·공예
F0602,NE01,꽃·식물
F0602,NE03,강·바다·수변
F0603,LS06,특산품·공예
F0604,LS01,농산물·과일
F0605,CC01,주민화합·마을
F0606,LS01,농산물·과일
F0607,CC02,먹거리·야시장
F0607,CC05,지역상권·마켓
F0608,CA06,복합문화예술
F0609,NE01,꽃·식물
F0609,NE02,숲·산·걷기
F0610,LS01,농산물·과일
F0611,LS01,농산물·과일
F0611,LS06,특산품·공예
F0612,LS02,수산물·해산물
F0612,LS04,음식·향토먹거리
F0613,CA06,복합문화예술
F0614,CA06,복합문화예술
F0615,LS01,농산물·과일
F0616,LS01,농산물·과일
F0617,LS01,농산물·과일
F0618,LS05,주류·차·음료
F0619,LS01,농산물·과일
F0620,CA01,음악·공연
F0621,LS01,농산물·과일
F0622,HT02,전통문화·민속
F0623,CA06,복합문화예술
F0624,CA06,복합문화예술
F0625,CC01,주민화합·마을
F0626,CC01,주민화합·마을
F0627,CA06,복합문화예술
F0628,LS04,음식·향토먹거리
F0629,LS01,농산물·과일
F0630,LS02,수산물·해산물
F0631,CA06,복합문화예술
F0632,LS06,특산품·공예
F0633,HT02,전통문화·민속
F0634,NE01,꽃·식물
F0634,NE02,숲·산·걷기
F0635,HT02,전통문화·민속
F0636,NE01,꽃·식물
F0636,NE03,강·바다·수변
F0637,CA06,복합문화예술
F0638,LS01,농산물·과일
F0639,CA06,복합문화예술
F0640,LS06,특산품·공예
F0641,LS04,음식·향토먹거리
F0642,CA01,음악·공연
F0643,LS04,음식·향토먹거리
F0644,CA06,복합문화예술
F0645,LS01,농산물·과일
F0646,LS01,농산물·과일
F0647,NE01,꽃·식물
F0647,NE02,숲·산·걷기
F0648,HT05,전통의례·제례
F0649,NE01,꽃·식물
F0650,CA01,음악·공연
F0651,HT02,전통문화·민속
F0652,NE01,꽃·식물
F0653,CC02,먹거리·야시장
F0654,NE02,숲·산·걷기
F0655,HT02,전통문화·민속
F0656,LS02,수산물·해산물
F0657,CA06,복합문화예술
F0658,LS06,특산품·공예
F0659,CA06,복합문화예술
F0660,CC01,주민화합·마을
F0661,LS02,수산물·해산물
F0662,LS02,수산물·해산물
F0663,CA06,복합문화예술
F0664,HT03,문화유산
F0665,NE02,숲·산·걷기
F0666,NE02,숲·산·걷기
F0667,CC01,주민화합·마을
F0668,LS02,수산물·해산물
F0669,CA06,복합문화예술
F0670,CA06,복합문화예술
F0671,CA06,복합문화예술
F0672,CA06,복합문화예술
F0673,CA04,영화·영상·콘텐츠
F0674,HT02,전통문화·민속
F0675,HT02,전통문화·민속
F0676,HT02,전통문화·민속
F0677,NE01,꽃·식물
F0677,NE02,숲·산·걷기
F0678,CA06,복합문화예술
F0679,CA06,복합문화예술
F0680,CA06,복합문화예술
F0681,LS01,농산물·과일
F0682,LS01,농산물·과일
F0683,NE01,꽃·식물
F0684,LS06,특산품·공예
F0685,LS02,수산물·해산물
F0686,NE01,꽃·식물
F0686,NE02,숲·산·걷기
F0687,LS01,농산물·과일
F0688,LS01,농산물·과일
F0689,LS04,음식·향토먹거리
F0690,LS01,농산물·과일
F0691,CA06,복합문화예술
F0692,CC01,주민화합·마을
F0693,HT02,전통문화·민속
F0694,NE03,강·바다·수변
F0694,NE04,계절·자연경관
F0695,NE01,꽃·식물
F0696,HT03,문화유산
F0697,CA03,빛·미디어아트
F0698,CA01,음악·공연
F0699,HT02,전통문화·민속
F0699,HT01,역사인물·사건
F0700,NE01,꽃·식물
F0701,CA01,음악·공연
F0702,CA06,복합문화예술
F0703,HT02,전통문화·민속
F0704,LS02,수산물·해산물
F0705,LS02,수산물·해산물
F0706,LS06,특산품·공예
F0707,LS01,농산물·과일
F0708,NE01,꽃·식물
F0708,NE02,숲·산·걷기
F0709,NE01,꽃·식물
F0710,CC01,주민화합·마을
F0711,CA06,복합문화예술
F0712,HT02,전통문화·민속
F0713,LS01,농산물·과일
F0714,LS01,농산물·과일
F0715,NE01,꽃·식물
F0716,LS02,수산물·해산물
F0717,LS02,수산물·해산물
F0718,LS02,수산물·해산물
F0719,LS06,특산품·공예
F0720,HT02,전통문화·민속
F0721,CA06,복합문화예술
F0722,NE01,꽃·식물
F0723,LS02,수산물·해산물
F0724,LS06,특산품·공예
F0725,CC01,주민화합·마을
F0726,LS04,음식·향토먹거리
F0727,LS06,특산품·공예
F0728,NE05,생태·환경
F0728,NE03,강·바다·수변
F0729,CC01,주민화합·마을
F0730,NE04,계절·자연경관
F0730,NE02,숲·산·걷기
F0731,HT02,전통문화·민속
F0732,LS01,농산물·과일
F0733,LS01,농산물·과일
F0734,LS04,음식·향토먹거리
F0735,LS06,특산품·공예
F0736,LS06,특산품·공예
F0737,LS02,수산물·해산물
F0738,LS06,특산품·공예
F0739,CA06,복합문화예술
F0740,NE01,꽃·식물
F0740,NE04,계절·자연경관
F0741,NE01,꽃·식물
F0742,HT02,전통문화·민속
F0743,LS06,특산품·공예
F0744,LS01,농산물·과일
F0745,HT02,전통문화·민속
F0746,NE02,숲·산·걷기
F0747,HT03,문화유산
F0748,LS02,수산물·해산물
F0749,LS06,특산품·공예
F0750,NE01,꽃·식물
F0750,NE03,강·바다·수변
F0751,NE03,강·바다·수변
F0752,CA06,복합문화예술
F0753,CA06,복합문화예술
F0754,CA06,복합문화예술
F0755,CC02,먹거리·야시장
F0756,CA06,복합문화예술
F0757,NE01,꽃·식물
F0757,NE02,숲·산·걷기
F0758,CC01,주민화합·마을
F0759,LS05,주류·차·음료
F0760,CA01,음악·공연
F0761,NE01,꽃·식물
F0762,CA06,복합문화예술
F0763,CC01,주민화합·마을
F0764,CA06,복합문화예술
F0765,LS04,음식·향토먹거리
F0766,HT02,전통문화·민속
F0767,HT02,전통문화·민속
F0768,CA06,복합문화예술
F0769,LS01,농산물·과일
F0770,CA06,복합문화예술
F0771,LS05,주류·차·음료
F0772,HT03,문화유산
F0773,CA06,복합문화예술
F0774,CA06,복합문화예술
F0775,LS01,농산물·과일
F0776,CA06,복합문화예술
F0777,CA03,빛·미디어아트
F0777,CA02,미술·공예·디자인
F0778,CA06,복합문화예술
F0779,LS06,특산품·공예
F0780,CA06,복합문화예술
F0781,CC02,먹거리·야시장
