위도,경도,주차구획수
34.94154115,127.6950864,33
34.94530826,127.690404,111
34.943989542,127.6891405055,104
34.97699592,127.588726,55
34.97914619,127.5829292,61
34.9733909,127.6083633,98
34.96370472,127.5790173,66
34.97347401,127.589271,23
34.97082307,127.5779747,169
34.97726021,127.585763,35
34.9787787,127.591678,96
34.98111,127.5828309,29
34.93386638,127.7169992,35
34.93403958,127.7234359,11
34.93386638,127.7169992,17
34.93386638,127.7169992,24
34.93364,127.723749,9
34.94055159,127.7284861,47
34.93403958,127.7234359,13
34.93403958,127.7234359,20
34.93939928,127.7182654,23
34.93386638,127.7169992,37
34.93403958,127.7234359,48
34.93768115,127.7233326,28
34.94248499,127.7236581,230
34.9372487,127.7173124,72
34.93386638,127.7169992,3
34.94055159,127.7284861,12
34.9447824,127.7471567,8
34.9442498,127.7472833,10
34.9513226,127.7605858,104
34.94306691,127.7559298,36
34.944726,127.7619947,78
34.94328164,127.7495744,66
34.94739,127.7525772,8
34.9427637,127.757287,18
34.94477375,127.7427649,25
34.9676211,127.717493,58
34.9645807,127.7148862384,22
34.960663,127.725044,16
34.9614762,127.7246986,19
34.9646089063,127.7178719,44
34.9642902,127.7153785,113
34.9639974,127.7159943,7
34.96529094,127.7179984,20
34.96408809,127.7189224,12
34.9653343,127.7093487,30
34.96513565,127.7090428,25
34.966066,127.713691,15
34.96525868,127.7138501,10
34.96439269,127.714246,24
34.960736,127.7217159,15
34.96334931,127.7202766,66
34.961976,127.7194476,20
34.9654182,127.718098,7
34.9645121,127.7188894,14
34.96696968,127.7139706,15
34.96499367,127.7162227,21
34.9642902,127.7153785,25
34.9637494,127.7213572,26
34.96574711,127.7140829,35
34.9618581,127.7180451,8
34.9530187653,127.6913938,246
34.9381573,127.7095201,82
34.93170238,127.6943545,30
34.9368085,127.7027332,98
34.94153428,127.6850748,56
34.9399369,127.6899783,13
34.93064809,127.6957935,8
34.94218148,127.6970064,19
34.9477167,127.6975016,38
34.93796896,127.6934397,23
34.9428643,127.6887844,8
34.9418831,127.6885463,7
34.9425162,127.699097,34
34.938157,127.6970857,8
34.9401994,127.6992213,8
34.9553487,127.6918664,17
34.9551165,127.6900221,15
